timewindow,port,external_ips,new_external_ips,num_conns,internal_ips,min_duration,max_duration,mean_duration,variance_duration,min_orig_bytes,max_orig_bytes,mean_orig_bytes,variance_orig_bytes,min_resp_bytes,max_resp_bytes,mean_resp_bytes,variance_resp_bytes,min_orig_pkts,max_orig_pkts,mean_orig_pkts,variance_orig_pkts,min_resp_pkts,max_resp_pkts,mean_resp_pkts,variance_resp_pkts,S0_count,S1_count,SF_count,REJ_count,S2_count,S3_count,RSTO_count,RSTR_count,RSTOS0_count,RSTRH_count,SH_count,SHR_count,OTH_count,failed_conn_count,zero_resp_bytes_count,label
0,80,47,5,116,21,5.9e-05,112.360694,4.508297522935782,244.24446676975444,0.0,3476.0,267.7798165137615,160540.6120696911,0.0,517805.0,27821.48623853211,3574589339.038802,0.0,265.0,14.551724137931034,747.2645659928658,0.0,389.0,22.560344827586214,1837.8325653983347,3,0,106,0,0,0,1,0,0,0,0,0,6,10,12,False
1,80,49,4,122,26,0.002274,213.55874900000003,8.075078738738737,738.5580216707393,0.0,8109.0,326.84684684684686,663266.291859427,0.0,84805.0,21442.882882882885,506618439.00430185,0.0,28.0,11.21311475409836,46.44638538027414,0.0,67.0,17.75409836065574,264.08707336737456,3,0,103,0,0,0,6,0,0,3,0,2,5,19,8,False
2,80,39,5,116,27,1.4000000000000001e-05,240.561129,8.832540794392523,1239.455521602855,0.0,3237.0,300.10280373831773,250919.79316970913,0.0,207260.0,23464.77570093458,830029696.6973536,0.0,85.0,11.922413793103447,95.6577734839477,0.0,147.0,19.23275862068965,413.0578923900119,3,0,99,0,0,0,3,1,0,0,0,2,8,17,10,False
3,80,46,6,121,25,1.4999999999999999e-05,311.592487,10.61607276146789,1854.8327961496527,0.0,7572.0,325.26605504587155,593409.3695816849,0.0,1035226.0,54835.2752293578,20992073690.658188,0.0,477.0,21.90082644628099,3210.8827265897144,0.0,744.0,40.15702479338843,10839.603442387814,2,0,102,0,0,0,4,1,0,1,0,1,10,19,9,False
4,80,44,3,111,27,0.0025440000000000003,270.700992,11.086023076190477,1890.8731593957239,0.0,5499.0,305.2857142857143,509458.1659863945,0.0,1328696.0,46353.152380952386,31040619469.9006,0.0,608.0,22.045045045045047,5775.9529258988705,1.0,1136.0,38.68468468468468,21855.531206882562,0,0,96,0,0,0,9,0,0,1,0,0,5,15,12,False
5,80,44,2,112,27,1.4999999999999999e-05,120.91653600000001,4.30545125,249.7105656710104,0.0,6725.0,375.96296296296305,655235.4986282579,0.0,2333609.0,50890.5462962963,55825025576.93304,0.0,886.0,23.660714285714285,7955.902742346939,1.0,1619.0,39.0,26026.125000000004,0,0,101,0,0,0,6,0,0,1,0,0,4,11,12,False
6,80,42,3,113,30,1.9e-05,277.089262,12.274370235294118,2364.1221074990813,0.0,3237.0,225.81372549019608,113212.01432141484,0.0,4768782.0,96976.41176470587,263086661668.6933,0.0,2080.0,39.56637168141593,43637.856214268926,0.0,3399.0,65.76106194690266,119852.11105019964,0,1,88,0,3,0,8,0,1,1,0,0,11,24,13,False
7,80,37,1,105,21,1.4999999999999999e-05,121.26303,4.858504969072165,390.64599697424865,0.0,6481.0,287.0618556701031,446652.55287490704,0.0,1427817.0,36984.463917525776,20725517697.25901,0.0,628.0,17.257142857142856,3642.971972789117,0.0,1056.0,28.43809523809524,10456.131882086169,3,0,91,0,0,0,2,0,0,0,0,2,7,14,8,False
8,80,44,7,120,33,1.4000000000000001e-05,241.899108,9.249070932692307,980.8933774756803,0.0,3513.0,322.49038461538464,267545.86529215967,0.0,1425821.0,57259.98076923077,35324886842.768845,0.0,569.0,22.875,4764.542708333333,0.0,1031.0,38.61666666666667,15666.453055555548,5,0,99,0,0,0,3,0,0,1,0,1,11,21,11,False
9,80,43,5,119,30,6.9e-05,250.00744300000002,16.450563027027027,2274.9657955064863,0.0,6537.0,475.1081081081081,889734.4027270514,0.0,1150318.0,37348.054054054046,12962684835.222305,0.0,493.0,17.865546218487395,2204.973518819292,0.0,849.0,28.957983193277308,6515.704116940892,3,0,104,0,0,0,5,0,0,1,0,2,4,15,11,False
10,80,59,11,145,28,0.000481,286.44689,8.145399082089549,884.5986398820519,0.0,7053.0,440.11194029850753,873706.3680663842,0.0,242585.0,22656.888059701494,1032768841.681499,0.0,74.0,12.213793103448277,102.37498216409037,0.0,174.0,18.489655172413798,513.3257550535078,3,1,124,0,0,0,5,3,0,0,0,0,9,20,15,False
11,80,40,6,106,30,1.4000000000000001e-05,120.642976,9.24070091089109,740.5262845167285,0.0,5158.0,308.0396039603961,408521.0875404372,0.0,2333609.0,44921.10891089108,52953778769.463394,0.0,692.0,18.075471698113212,4378.862228551082,1.0,1607.0,33.886792452830186,23870.2135991456,0,0,92,0,0,0,5,2,0,2,0,2,3,14,11,False
12,80,43,1,118,30,0.00011499999999999999,267.25016600000004,20.89512182407407,4053.3391260685175,0.0,14703.0,594.8333333333334,2945067.8611111115,0.0,2728263.0,48548.11111111112,69237698790.72842,0.0,1080.0,21.881355932203395,9950.25711002586,0.0,1920.0,35.7542372881356,31366.558244757256,2,0,95,1,0,2,8,0,1,0,0,1,8,23,12,False
13,80,44,4,105,29,0.000109,361.258398,6.676248443298969,1433.405940206757,0.0,5671.0,243.0824742268041,327761.45711552765,0.0,346038.0,25927.92783505154,1625532123.0772665,0.0,161.0,12.638095238095238,264.402358276644,0.0,252.0,20.771428571428565,813.0906122448978,3,0,90,0,0,0,3,1,0,2,0,2,4,15,10,False
14,80,47,3,125,25,0.00221,220.101396,8.060520522123895,880.7214832358068,0.0,11693.0,501.7610619469026,1578112.5181298458,0.0,578544.0,27134.81415929204,3346479093.602632,0.0,212.0,13.072000000000001,398.48281599999984,0.0,410.0,21.024,1545.0954239999992,1,0,97,0,0,0,9,5,0,1,0,1,11,28,9,False
15,80,47,0,128,27,0.00016,208.54917700000001,8.000706737704919,762.0422009401871,0.0,3733.0,351.36065573770486,245734.08304219297,0.0,489304.0,28246.786885245903,4412482168.954584,0.0,221.0,14.75,824.4843750000003,0.0,358.0,23.0078125,2253.648376464845,2,1,108,0,0,0,6,5,0,1,0,0,5,19,12,False
16,80,78,9,250,22,1.4000000000000001e-05,90.925497,12.584449283333335,599.5943603022544,0.0,18107.0,895.6875,2477552.51484375,0.0,890538.0,19967.1,4462193787.523335,0.0,360.0,12.424000000000001,756.1002239999998,0.0,625.0,17.668,2117.1977759999977,2,0,195,0,0,0,43,0,1,0,0,1,8,55,11,True
17,80,41,8,113,25,0.000242,212.23212999999998,5.773857905660377,507.5150248430275,0.0,2688.0,253.52830188679246,112372.00391598436,0.0,558306.0,31931.509433962266,4554180469.344253,0.0,190.0,14.672566371681414,476.6273004933825,1.0,386.0,24.964601769911503,2122.1934372307933,0,1,89,0,0,1,10,4,0,0,0,1,7,23,12,False
18,80,38,5,107,23,1.4000000000000001e-05,125.78546000000001,7.442438485714287,478.20701763088533,0.0,4424.0,317.3333333333333,316567.0031746032,0.0,648929.0,64588.047619047626,18693346261.22631,0.0,543.0,46.23364485981308,13218.49681194864,0.0,474.0,49.738317757009355,9994.641802777536,1,0,88,0,0,0,15,1,0,0,0,0,2,19,12,False
19,80,41,4,137,29,1.4999999999999999e-05,304.42899500000004,14.884309126984125,1631.3907481718395,0.0,4932.0,299.6111111111111,390329.1424162258,0.0,6229371.0,74544.96825396825,304530755731.1099,0.0,2662.0,32.67153284671532,51163.476050935016,0.0,4260.0,51.36496350364963,130993.66242207892,3,2,95,0,0,0,11,4,1,0,0,1,20,40,19,False
20,80,46,5,142,33,1.6e-05,240.04747799999998,6.583188930769232,631.8638986366868,0.0,7269.0,533.5461538461539,1153405.6940236685,0.0,1038143.0,41379.75384615385,16300479471.416344,0.0,423.0,19.281690140845075,2677.258678833565,1.0,728.0,31.323943661971825,8036.951398532035,0,0,120,0,0,0,4,6,0,1,0,0,11,22,16,False
