percentile,score
0.0,13.12477650564987
0.05,13.896505138495357
0.1,14.502029619853325
0.2,14.905633951125077
0.3,14.973824832179632
0.4,15.168870350618231
0.5,15.319672758147341
0.6,15.344258525759232
0.7,15.425654931511637
0.8,15.617785957055101
0.9,15.819325166032932
1.0,15.897537086425459
2.0,16.557865346721044
3.0,16.775945876692493
4.0,16.959342166269384
5.0,17.070746927978266
6.0,17.145981532453316
7.0,17.229266791839986
8.0,17.2824592864766
9.0,17.337299827156052
10.0,17.399745691084473
11.0,17.455951985027962
12.0,17.49079229553013
13.0,17.538648469203157
14.0,17.56508938546239
15.0,17.57995017900632
16.0,17.607075505387943
17.0,17.644083223285044
18.0,17.66391285687859
19.0,17.684110009654617
20.0,17.732339982234976
21.0,17.741584151332255
22.0,17.75884362463719
23.0,17.771131975227828
24.0,17.789439840818883
25.0,17.811939494015206
26.0,17.836285222771416
27.0,17.850541473385192
28.0,17.866590593364947
29.0,17.87705748009469
30.0,17.89342316067094
31.0,17.91159865167419
32.0,17.93235166918194
33.0,17.94545114830968
34.0,17.955396184073308
35.0,17.967148525889197
36.0,17.979957410488794
37.0,17.989206525242786
38.0,17.99842722939662
39.0,18.008785379187948
40.0,18.016870695417378
41.0,18.02393625176343
42.0,18.032208713305685
43.0,18.04328499314789
44.0,18.05500802461261
45.0,18.071958832540027
46.0,18.087672467898862
47.0,18.09959645698745
48.0,18.108695999791614
49.0,18.114858001736792
50.0,18.122780556135076
51.0,18.13284447702337
52.0,18.14247944118609
53.0,18.15024982413619
54.0,18.161726506341743
55.0,18.170746980659594
56.0,18.181331862995894
57.0,18.188976845587813
58.0,18.196630855048493
59.0,18.202467139572136
60.0,18.210927748581625
61.0,18.221966250495115
62.0,18.226180626929185
63.0,18.236873798802545
64.0,18.244854512498073
65.0,18.25320223751
66.0,18.26171337525136
67.0,18.269739428691715
68.0,18.2785953960197
69.0,18.283631203956602
70.0,18.289154758555334
71.0,18.29718047816772
72.0,18.307402542439807
73.0,18.316066778120373
74.0,18.32225851429323
75.0,18.327728866581374
76.0,18.332769070105435
77.0,18.33974971491443
78.0,18.346627770293914
79.0,18.355167127658984
80.0,18.358978662316197
81.0,18.365505877602168
82.0,18.3763708761702
83.0,18.383396351973474
84.0,18.393402224286206
85.0,18.404510034590075
86.0,18.415256984638535
87.0,18.420268551331073
88.0,18.428429705360955
89.0,18.439513748071573
90.0,18.451611386058694
91.0,18.462469716144774
92.0,18.471669384392946
93.0,18.47559179261323
94.0,18.4824062873744
95.0,18.494862813905602
96.0,18.504934955582602
97.0,18.518279422623905
98.0,18.531040331182112
99.0,18.548751339169225
100.0,18.57705389115434
