window,score
398,9.983562320315428
405,10.944004108741115
393,11.017626613738956
391,11.453340140609434
401,11.567809423972651
408,12.94598377329202
581,13.537059167765984
678,13.713669587332982
386,13.966248156132435
691,14.047126826785512
351,14.061083248331661
426,14.182003230213153
43,14.204483557478103
413,14.218099133791007
679,14.225775778730133
47,14.232201307389479
550,14.243937896137194
531,14.262409490489443
593,14.264309220344977
492,14.267550891748295
1071,14.295442867010864
395,14.300397459511492
513,14.30879980123379
715,14.340040756227474
743,14.340110588015026
601,14.357734070094683
77,14.41798960625125
832,14.443064954224791
369,14.47170137300372
101,14.472817170243138
1191,14.492291966100334
60,14.516534729613292
737,14.535743705539092
591,14.545298339514202
692,14.580431980955279
23,14.611751404646828
51,14.61829206134296
388,14.621674743729429
111,14.62951521556634
1105,14.664353855567008
535,14.676557221608528
1053,14.68390800474166
747,14.690816087548171
1037,14.745865714678155
259,14.752969361257954
113,14.778776198456598
291,14.793057220857264
141,14.815285896355418
217,14.8162428679589
651,14.816816931855923
771,14.847741200026407
346,14.857158482772686
831,14.882518676834085
48,14.901704446472575
71,14.917335452304082
299,14.94679532012391
751,14.946805257434198
25,14.948844934240725
406,14.965537800976252
411,15.000407567350123
41,15.004553603722663
1159,15.005579840191718
659,15.021113354570376
558,15.036073053090194
171,15.040443191285009
583,15.049546380633258
389,15.054255237815417
958,15.05866528164616
909,15.067496627759745
514,15.067735278984038
192,15.077981041001394
471,15.078413562649827
773,15.082133422870946
138,15.082834144818978
1177,15.108143280190676
951,15.123685982141188
859,15.137416863691058
134,15.17439107859061
540,15.17943688575428
1148,15.180860241789526
270,15.186843650706628
493,15.187854393411243
623,15.18803128407095
231,15.193565879462072
963,15.209621015694704
663,15.21364286258494
891,15.218831241849582
1011,15.235220464458559
139,15.242825073695794
761,15.244208011097093
989,15.245217244702546
711,15.250031035951285
706,15.252107122438785
267,15.258929546367302
578,15.261184844094347
235,15.267115945957169
903,15.26737092375296
633,15.272896025126501
683,15.276554133334237
1016,15.286269384314652
637,15.293549114388277
473,15.295085709239878
705,15.297642680054121
385,15.304681808947375
1131,15.311060905305053
494,15.315709846334954
501,15.341473834627719
114,15.346427710461473
1043,15.347574770094662
654,15.351697027338425
551,15.355737153201881
511,15.36137256872123
412,15.370937968857476
673,15.393134577784206
1023,15.395842315445385
559,15.398404854701932
3,15.42663501957206
477,15.435148205117185
284,15.440638258817206
932,15.440985316642431
181,15.44652228436787
70,15.45176089756309
592,15.464183324697897
1059,15.465405300026873
55,15.469285973130035
677,15.476717985099025
277,15.490056905839731
577,15.490738385471078
803,15.49495945825768
59,15.49623473609016
736,15.51419272922481
42,15.51508017816181
268,15.52177571448483
34,15.52452746580571
1120,15.525959311713732
560,15.537298299624654
35,15.564311768529786
979,15.564715276920131
726,15.564917349770388
96,15.566766074327449
720,15.572991219360263
503,15.58708926571666
67,15.59873238393443
547,15.599676796779212
727,15.601263213552796
443,15.608966151309314
983,15.609316610892797
73,15.612052603109618
296,15.612432345932548
374,15.626934519349996
950,15.627398973656476
617,15.629119669036742
100,15.653083291738733
84,15.659071857332666
639,15.661274132089725
13,15.665019053249857
116,15.666285384340748
759,15.6727070084625
373,15.673311860133753
710,15.674054948839386
1190,15.67500364173738
159,15.675366957250821
381,15.683362841894475
888,15.699269272353604
240,15.700407375592526
142,15.707326051379862
273,15.707878363532476
527,15.724253305607295
680,15.725709408289708
143,15.725995128529682
352,15.726006085557007
929,15.730860474176467
959,15.734231643256544
952,15.736071274051652
613,15.739617747757263
366,15.740619958397948
1006,15.742035486025815
371,15.742589715836063
528,15.744090496039396
327,15.748706480485135
713,15.74975927923706
148,15.751562311617583
453,15.75292276045393
363,15.759550645534201
427,15.76104197554573
582,15.769873368528152
173,15.786135673790112
682,15.786286139059436
627,15.789083334076471
376,15.789717721813787
272,15.792956380988866
28,15.794166587535956
821,15.803555540528714
359,15.807566229801347
906,15.814391923784035
196,15.829275505904178
598,15.837164817706189
249,15.839147038940265
463,15.841600043193818
91,15.841953046244367
625,15.842961552901286
488,15.852637731000229
671,15.855077113532376
967,15.855082237123066
423,15.85652050726072
1021,15.859787829055827
640,15.859956611663266
63,15.861618737874904
156,15.863277713312806
319,15.869203282812641
271,15.872127649767084
303,15.884901825004743
130,15.885135382545874
1187,15.885573553651573
360,15.888646383262463
600,15.892001883179809
541,15.892306578336571
377,15.894561293173272
926,15.896058787756846
328,15.89728297223925
112,15.899473163568828
176,15.900219676456324
543,15.90306900448028
353,15.903894485849241
662,15.90487240290168
292,15.91698408900949
341,15.919051844275968
348,15.922966801850864
997,15.928643975391564
438,15.932985847829412
703,15.937026828488134
45,15.939100334354812
763,15.9401612049295
939,15.943579958605751
1175,15.95216993026061
782,15.956289992402196
833,15.959500920049058
793,15.960451605578502
745,15.962644229498322
749,15.965595473207825
121,15.969254033777665
93,15.976487714360154
953,15.97968437794612
1109,15.981541891013801
693,15.9827248239564
1026,15.983425863345076
738,15.984057683030958
1089,15.985877917878591
563,15.9910364578579
1070,15.992821962565115
904,15.993412637421574
857,15.993690389613938
1125,16.00426480969948
370,16.01284208822836
712,16.01510807291021
571,16.01904291038146
687,16.02035947978069
647,16.02143582774688
852,16.023902492689967
733,16.02392617755486
126,16.02568411854941
1189,16.025926017296978
806,16.030772153016365
115,16.033576021941734
483,16.045002972492107
948,16.045673615236858
566,16.04583678161419
407,16.057043250268652
123,16.065561239140013
365,16.070950286199917
416,16.0765696362383
1081,16.078588433098062
459,16.08027395021282
383,16.08070073822622
1003,16.08451735953653
18,16.085872188117293
417,16.088249332543327
597,16.090662601961814
809,16.09070952437403
390,16.094850491207957
607,16.095142432261724
409,16.0974686342123
1122,16.098494008307522
85,16.10108505333837
306,16.10158250295626
707,16.102542346352198
311,16.103645401726737
973,16.107908445414544
561,16.110139993164225
985,16.111507795376255
433,16.114612009742995
301,16.115638533733573
1150,16.1171929288008
978,16.122679854110338
321,16.12305726679451
106,16.127686576812938
653,16.12969717116125
656,16.130958916544646
361,16.133182692942373
783,16.134294449324102
1074,16.13741338899896
108,16.13857781501459
127,16.13996445347251
643,16.146847874906157
536,16.14974411449597
282,16.150547810568536
605,16.152667278043346
584,16.153728462977934
280,16.155036332776795
57,16.163257629439872
709,16.16782869895617
807,16.168831868845153
201,16.17112519502665
168,16.173709710595084
986,16.174597132214224
191,16.175156283996973
603,16.177042708219123
538,16.182647155161167
823,16.183004211127802
871,16.18552434273753
236,16.188618042186302
506,16.196227666243242
694,16.197524896864934
367,16.202073086614863
336,16.21117393650644
840,16.211489672014704
931,16.21174926433372
239,16.213432115746183
1160,16.21363793589439
335,16.214691593713756
157,16.216391172335232
342,16.2166409970902
200,16.216946090291444
631,16.231177099895913
905,16.232156086879698
497,16.232294109272743
864,16.23342753681138
901,16.234971085100845
874,16.23641270701396
66,16.23649066475494
1056,16.236871081568225
1135,16.237729774295268
99,16.238690177493915
161,16.23906469492428
150,16.240287174761665
241,16.243037778982576
33,16.245073919026176
78,16.251991207198422
362,16.253444082874108
522,16.25382252257075
340,16.25448881608561
553,16.25531368632978
215,16.262119686429944
893,16.26395375443614
131,16.264294936615233
977,16.2677015054423
347,16.268076538544918
701,16.272614753847375
183,16.27541168648584
233,16.282661205849088
943,16.282793625219412
843,16.28291115046812
1063,16.28303442589043
182,16.2830814869299
279,16.287098408991906
655,16.287429910115904
839,16.287859278486742
56,16.28789419901546
1085,16.28821663171244
442,16.29053437048264
1072,16.292055409003446
26,16.294796526134984
380,16.29516118285798
375,16.297736045690858
269,16.299649093422858
728,16.301678347107003
764,16.30749252961635
576,16.307668658363234
170,16.308071792366754
774,16.313715195951467
934,16.317195731791166
