percentile,score
0.0,7.710482847074905
0.05,11.487669240324337
0.1,14.023506025596072
0.2,14.078074315504736
0.3,14.22116080860487
0.4,14.452723792194085
0.5,14.542837708220366
0.6,14.699894502874837
0.7,14.730620210223025
0.8,14.839582335968917
0.9,14.9086820427629
1.0,14.945361793367647
2.0,15.269405249084036
3.0,15.476930143332817
4.0,15.701226735748149
5.0,15.865615240478848
6.0,15.935762265520372
7.0,16.102756652661984
8.0,16.20615522529418
9.0,16.364562519357875
10.0,16.475934485790898
11.0,16.55248996900491
12.0,16.587062118457077
13.0,16.634481863805092
14.0,16.67559806573352
15.0,16.74132097553274
16.0,16.81548936532334
17.0,16.849656082060807
18.0,16.880539337489882
19.0,16.90599556437002
20.0,16.930848797029945
21.0,16.95890597170298
22.0,16.984192616876644
23.0,17.004786571016435
24.0,17.020457232271188
25.0,17.03674227226143
26.0,17.05013276401841
27.0,17.063205762093226
28.0,17.071947113928523
29.0,17.08944124526854
30.0,17.10837299775808
31.0,17.13399902766966
32.0,17.165100403804686
33.0,17.193936528433845
34.0,17.24076138738227
35.0,17.285527023648136
36.0,17.315161001734598
37.0,17.347694439012542
38.0,17.366229791948406
39.0,17.389410648759586
40.0,17.412898778250685
41.0,17.42403873011145
42.0,17.439857978739013
43.0,17.450210981330482
44.0,17.46578491699503
45.0,17.47408827820844
46.0,17.49175046843193
47.0,17.50668474121789
48.0,17.51605929462322
49.0,17.52438525365854
50.0,17.532019609796887
51.0,17.5400380878236
52.0,17.550657484205054
53.0,17.56007442139625
54.0,17.564660573001703
55.0,17.572923367917674
56.0,17.576066182231706
57.0,17.5832050660071
58.0,17.589248772921295
59.0,17.593259792369274
60.0,17.59871992351653
61.0,17.603500220863566
62.0,17.61239736609415
63.0,17.61873907627381
64.0,17.62710685426821
65.0,17.630728331055376
66.0,17.636214732163193
67.0,17.64279284947959
68.0,17.651683769977232
69.0,17.668329725865487
70.0,17.681383144779755
71.0,17.719216643432034
72.0,17.747577812649617
73.0,17.760728131159688
74.0,17.773520326539803
75.0,17.786618211790024
76.0,17.79628548093721
77.0,17.80581264509803
78.0,17.821980343263395
79.0,17.83511474335619
80.0,17.84674426793567
81.0,17.85452383342092
82.0,17.8654782119786
83.0,17.87313778437744
84.0,17.880868731418555
85.0,17.888081338417578
86.0,17.896125606475685
87.0,17.905497061357654
88.0,17.911833862855204
89.0,17.91768371434295
90.0,17.92237612393309
91.0,17.928020205698388
92.0,17.9358594497117
93.0,17.94116235732874
94.0,17.946201733518976
95.0,17.951098154690303
96.0,17.955386944399734
97.0,17.959343172871097
98.0,17.9645058970715
99.0,17.97482431291921
100.0,17.99080261061644
