percentile,score
0.0,4.191604593974648
0.05,4.192440133634297
0.1,4.193275673293945
0.2,4.194946752613243
0.3,4.19661783193254
0.4,4.198288911251837
0.5,4.199959990571134
0.6,4.201631069890432
0.7,4.203302149209729
0.8,4.204973228529027
0.9,4.2066443078483235
1.0,4.208315387167621
2.0,4.225026180360595
3.0,4.241736973553569
4.0,4.258447766746542
5.0,4.275158559939515
6.0,4.291869353132489
7.0,4.308580146325463
8.0,4.325290939518435
9.0,4.3420017327114095
10.0,4.358712525904383
11.0,4.375423319097356
12.0,4.3921341122903295
13.0,4.408844905483303
14.0,4.425555698676277
15.0,4.44226649186925
16.0,4.458977285062224
17.0,4.475688078255197
18.0,4.49239887144817
19.0,4.509109664641144
20.0,4.525820457834118
21.0,4.542531251027091
22.0,4.559242044220064
23.0,4.575952837413038
24.0,4.592663630606012
25.0,4.609374423798985
26.0,4.626085216991958
27.0,4.642796010184932
28.0,4.659506803377905
29.0,4.676217596570879
30.0,4.692928389763852
31.0,4.709639182956826
32.0,4.726349976149799
33.0,4.743060769342773
34.0,4.750441291965909
35.0,4.753156679304126
36.0,4.755872066642343
37.0,4.758587453980561
38.0,4.761302841318778
39.0,4.764018228656996
40.0,4.7667336159952125
41.0,4.76944900333343
42.0,4.772164390671647
43.0,4.774879778009865
44.0,4.777595165348082
45.0,4.7803105526862995
46.0,4.783025940024516
47.0,4.785741327362734
48.0,4.788456714700951
49.0,4.791172102039169
50.0,4.793887489377386
51.0,4.796602876715603
52.0,4.79931826405382
53.0,4.802033651392038
54.0,4.804749038730256
55.0,4.8074644260684725
56.0,4.81017981340669
57.0,4.812895200744908
58.0,4.815610588083125
59.0,4.818325975421342
60.0,4.821041362759559
61.0,4.823756750097776
62.0,4.826472137435994
63.0,4.829187524774211
64.0,4.831902912112429
65.0,4.8346182994506455
66.0,4.837333686788863
67.0,4.839542287070497
68.0,4.840737313238963
69.0,4.841932339407429
70.0,4.843127365575895
71.0,4.844322391744361
72.0,4.845517417912828
73.0,4.846712444081294
74.0,4.84790747024976
75.0,4.849102496418226
76.0,4.8502975225866924
77.0,4.851492548755159
78.0,4.852687574923625
79.0,4.853882601092092
80.0,4.855077627260558
81.0,4.8562726534290235
82.0,4.85746767959749
83.0,4.858662705765957
84.0,4.859857731934422
85.0,4.861052758102888
86.0,4.862247784271355
87.0,4.863442810439821
88.0,4.864637836608287
89.0,4.865832862776753
90.0,4.86702788894522
91.0,4.868222915113686
92.0,4.869417941282152
93.0,4.870612967450619
94.0,4.871807993619084
95.0,4.873003019787551
96.0,4.8741980459560175
97.0,4.875393072124483
98.0,4.87658809829295
99.0,4.877783124461415
100.0,4.878978150629882
