window,score
785,7.710482847074905
695,14.011043970093137
388,14.073667364580247
390,14.084740105596556
605,14.31325049589524
413,14.488468204813387
328,14.543110921805328
572,14.693899960403911
424,14.72479966386229
550,14.73961021439851
114,14.908482041375548
323,14.9087348876301
581,14.945731762112471
387,14.99140480705989
653,15.017092798405384
431,15.025861015764056
582,15.048922345650487
453,15.079201837055853
466,15.09302927684167
499,15.202002667121256
412,15.206878320723868
405,15.2182077398509
327,15.245930797007581
477,15.247599850028331
428,15.26985025722803
369,15.30367607975326
386,15.313363277320343
344,15.322765243372421
311,15.355604265742125
577,15.363212053392502
192,15.390836349248769
501,15.41268892317174
235,15.41615273081003
326,15.41811146069779
0,15.451724571600334
330,15.47420164882575
4,15.47701452976087
26,15.480089190255573
299,15.496939476593582
532,15.524120971403102
427,15.536302158898287
82,15.54715816974488
221,15.55924772528398
890,15.614508601750467
132,15.641086499835
21,15.665486296311023
404,15.665792088479265
11,15.667983686091828
519,15.702611862817163
444,15.719328124933265
366,15.72158239910804
167,15.72875553004698
474,15.731915650467178
47,15.754494569109015
100,15.772680650458929
49,15.809367214853134
401,15.812605353199642
598,15.833820821107762
83,15.857519636777262
646,15.863453408419181
304,15.865729021113568
15,15.871043235869966
566,15.887796099489105
347,15.898263330831275
395,15.898886281430395
475,15.899225309698833
33,15.914495422527349
113,15.91920670174623
280,15.919326045848116
374,15.930367790328415
24,15.934690361386592
364,15.935629006593159
717,15.935770771409343
736,15.942340788934489
57,15.948995585700139
63,15.967800610338243
349,15.96866282450973
662,15.982245771782711
1,15.996003579370441
523,15.998573467554555
614,16.00729670523748
537,16.06224361791312
932,16.085165687214822
3,16.088417824091756
705,16.10383591932856
291,16.10813281593598
575,16.11135078934396
373,16.128289200991535
201,16.151885015167565
398,16.16203372175864
317,16.16213984179624
891,16.17206805451948
732,16.17751144528172
353,16.184371616596042
122,16.19464632567012
168,16.204728045322806
254,16.206279327900386
198,16.220735875161925
381,16.227509721069495
127,16.229231804848297
934,16.242450140385593
295,16.242944183403274
438,16.27385943455871
549,16.279027680220405
143,16.284136205865845
354,16.29927443457653
99,16.315848949616157
6,16.35724794418462
31,16.365285938880504
267,16.375133395037945
351,16.41905634745918
562,16.431012389763353
342,16.437397703245868
329,16.439632506906904
297,16.440152718592486
640,16.442231801859442
193,16.450305951063598
528,16.461417616743372
485,16.46477404108814
148,16.468828719256575
493,16.47672401540582
174,16.48150599428104
927,16.487783799069582
5,16.49787516757423
627,16.502172929094304
375,16.509644254267062
871,16.519202572546497
249,16.522608992989916
253,16.52445999157116
322,16.527050436789654
1134,16.536230190360197
365,16.550415965504587
319,16.552746306516184
389,16.555230061173525
394,16.559294210500198
483,16.56267332274365
210,16.563189208395976
441,16.565063810851914
172,16.56814638201965
276,16.56921002943917
1004,16.571832780216525
1007,16.572652538874568
435,16.573834316164493
500,16.583527697020156
515,16.587544085016656
454,16.58834407741246
325,16.594791072274745
672,16.600219366897097
557,16.60936523615497
451,16.616956881044306
230,16.618679116061713
426,16.623088573844985
393,16.627752828675035
217,16.62933923456626
643,16.631050538777853
1137,16.63370409858223
202,16.634598081597016
929,16.635913940776717
45,16.642724250675833
1041,16.644548407054295
215,16.64692169183015
18,16.655747089568344
219,16.65858710452057
106,16.65967147258941
2,16.663287996675038
243,16.664697968853524
368,16.672310745702635
343,16.674787964810704
153,16.67572994262793
54,16.67602346544708
220,16.679303520244485
320,16.688980499404632
597,16.689024958377725
580,16.698419392369175
214,16.70035862627744
966,16.707430620794398
689,16.711021893864892
232,16.719526362576076
926,16.7210795216478
576,16.731803965983126
391,16.743000447806203
998,16.751433703588607
1076,16.752378457780285
