num_conns                0.0900
mean_orig_bytes          0.0900
max_resp_pkts            0.0700
max_resp_bytes           0.0700
REJ_count                0.0650
variance_orig_pkts       0.0600
SF_count                 0.0600
max_orig_bytes           0.0600
mean_resp_bytes          0.0600
S0_count                 0.0500
variance_duration        0.0500
variance_resp_pkts       0.0500
failed_conn_count        0.0400
mean_resp_pkts           0.0300
new_external_ips         0.0300
external_ips             0.0300
zero_resp_bytes_count    0.0200
variance_resp_bytes      0.0200
variance_orig_bytes      0.0200
max_orig_pkts            0.0200
min_duration             0.0073
RSTO_count               0.0050
mean_duration            0.0027
RSTRH_count              0.0000
internal_ips             0.0000
OTH_count                0.0000
SHR_count                0.0000
SH_count                 0.0000
mean_orig_pkts           0.0000
RSTOS0_count             0.0000
RSTR_count               0.0000
S2_count                 0.0000
max_duration             0.0000
S1_count                 0.0000
S3_count                 0.0000
