S0_count                 0.2500
new_external_ips         0.1805
REJ_count                0.1528
SF_count                 0.0440
external_ips             0.0409
mean_duration            0.0397
failed_conn_count        0.0296
mean_orig_pkts           0.0280
internal_ips             0.0262
num_conns                0.0228
mean_orig_bytes          0.0210
variance_duration        0.0183
mean_resp_pkts           0.0157
max_duration             0.0155
variance_orig_bytes      0.0150
zero_resp_bytes_count    0.0137
RSTO_count               0.0135
variance_resp_pkts       0.0110
max_orig_bytes           0.0092
max_resp_bytes           0.0082
variance_orig_pkts       0.0079
RSTR_count               0.0064
max_resp_pkts            0.0056
variance_resp_bytes      0.0046
mean_resp_bytes          0.0045
min_duration             0.0045
max_orig_pkts            0.0029
SH_count                 0.0029
OTH_count                0.0018
S1_count                 0.0017
RSTRH_count              0.0011
SHR_count                0.0005
S2_count                 0.0001
RSTOS0_count             0.0000
S3_count                 0.0000
