failed_conn_count        0.1256
S0_count                 0.1200
num_conns                0.1157
new_external_ips         0.1100
external_ips             0.0910
mean_orig_bytes          0.0746
max_orig_bytes           0.0673
RSTR_count               0.0455
zero_resp_bytes_count    0.0423
variance_orig_bytes      0.0418
mean_resp_bytes          0.0368
SF_count                 0.0306
max_resp_bytes           0.0300
RSTO_count               0.0190
variance_resp_pkts       0.0160
max_resp_pkts            0.0144
variance_resp_bytes      0.0093
mean_duration            0.0052
mean_orig_pkts           0.0022
internal_ips             0.0012
mean_resp_pkts           0.0005
min_duration             0.0004
RSTOS0_count             0.0004
max_orig_pkts            0.0002
variance_orig_pkts       0.0000
RSTRH_count              0.0000
OTH_count                0.0000
SHR_count                0.0000
SH_count                 0.0000
S3_count                 0.0000
S2_count                 0.0000
REJ_count                0.0000
S1_count                 0.0000
max_duration             0.0000
variance_duration        0.0000
