external_ips             0.1795
S0_count                 0.1792
new_external_ips         0.1475
failed_conn_count        0.1209
REJ_count                0.0874
mean_orig_pkts           0.0510
num_conns                0.0440
zero_resp_bytes_count    0.0436
mean_resp_pkts           0.0256
RSTR_count               0.0250
RSTO_count               0.0139
max_orig_bytes           0.0099
SF_count                 0.0096
mean_resp_bytes          0.0095
max_duration             0.0094
variance_orig_pkts       0.0093
mean_orig_bytes          0.0062
max_orig_pkts            0.0050
mean_duration            0.0046
variance_resp_pkts       0.0035
S3_count                 0.0033
max_resp_bytes           0.0032
max_resp_pkts            0.0027
SH_count                 0.0018
internal_ips             0.0011
variance_duration        0.0009
min_duration             0.0009
variance_resp_bytes      0.0005
variance_orig_bytes      0.0004
S1_count                 0.0003
OTH_count                0.0001
S2_count                 0.0000
RSTOS0_count             0.0000
RSTRH_count              0.0000
SHR_count                0.0000
