timewindow,port,external_ips,new_external_ips,num_conns,internal_ips,min_duration,max_duration,mean_duration,variance_duration,min_orig_bytes,max_orig_bytes,mean_orig_bytes,variance_orig_bytes,min_resp_bytes,max_resp_bytes,mean_resp_bytes,variance_resp_bytes,min_orig_pkts,max_orig_pkts,mean_orig_pkts,variance_orig_pkts,min_resp_pkts,max_resp_pkts,mean_resp_pkts,variance_resp_pkts,S0_count,S1_count,SF_count,REJ_count,S2_count,S3_count,RSTO_count,RSTR_count,RSTOS0_count,RSTRH_count,SH_count,SHR_count,OTH_count,failed_conn_count,zero_resp_bytes_count,label
10,443,13,2,21,10,0.013925,410.077635,89.00501239999998,16238.051452039525,0.0,19044.0,1611.5,16743206.55,0.0,18639.0,4975.85,37346610.0275,1.0,46.0,13.333333333333336,83.26984126984127,0.0,50.0,12.047619047619047,106.33106575963718,2,0,12,0,0,0,7,0,0,0,0,0,0,9,2,False
11,443,6,0,8,6,7.900000000000001e-05,7.676532000000001,2.8631825,7.7283208634245,0.0,1572.0,796.25,167983.1875,1.0,343271.0,55710.375,11964164393.734377,1.0,165.0,34.25,2507.4375,1.0,248.0,45.375,5979.484375000001,0,0,6,0,0,0,1,0,0,0,0,0,1,2,0,False
12,443,13,1,17,10,0.129391,214.62714100000002,25.513840294117646,2970.980644728085,0.0,1723.0,771.8235294117646,279827.5570934256,0.0,40975.0,8425.882352941177,102744412.92733563,3.0,26.0,12.647058823529413,32.69896193771626,1.0,39.0,13.411764705882351,67.30103806228375,0,1,13,0,0,1,2,0,0,0,0,0,0,3,2,False
13,443,17,4,22,9,0.222179,324.692343,51.25499790909091,10116.2343772397,159.0,6477.0,1284.7727272727273,2359867.084710744,0.0,53597.0,6245.545454545455,140998635.06611568,3.0,37.0,12.727272727272727,75.3801652892562,2.0,39.0,11.681818181818182,72.94421487603306,0,0,16,0,0,0,2,4,0,0,0,0,0,6,4,False
14,443,8,0,11,6,0.589002,16.222267000000002,4.797661818181818,15.637923121341414,142.0,1179.0,695.1818181818181,60107.23966942148,117.0,19672.0,10373.727272727272,42200330.56198347,9.0,18.0,14.0,8.181818181818182,7.0,20.0,12.727272727272727,16.925619834710744,0,0,10,0,0,0,1,0,0,0,0,0,0,1,0,False
15,443,8,1,14,7,0.088563,470.103512,39.08649571428572,14346.441530080938,0.0,3152.0,753.1428571428571,807320.6938775509,0.0,19672.0,6040.928571428572,42654866.20918367,2.0,115.0,17.285714285714285,757.2040816326532,1.0,103.0,15.428571428571427,619.6734693877552,0,0,9,0,0,0,5,0,0,0,0,0,0,5,3,False
16,443,16,2,19,12,1.4000000000000001e-05,65.22835500000001,13.779338000000001,417.83627187533716,0.0,1978.0,923.2631578947368,197839.77285318554,1.0,40975.0,7888.105263157896,89138694.40997232,1.0,26.0,11.894736842105265,29.462603878116344,1.0,38.0,11.789473684210524,57.639889196675895,0,0,14,0,0,0,4,0,0,0,0,0,1,5,0,False
17,443,15,1,19,11,0.180057,595.3439599999999,53.32074468421053,18994.446748830327,107.0,21265.0,1971.947368421053,20886993.628808863,0.0,40975.0,9783.368421052632,78912040.33795014,5.0,54.0,15.789473684210524,102.58725761772853,4.0,56.0,16.157894736842106,136.5540166204986,0,0,16,0,0,0,3,0,0,0,0,0,0,3,1,False
18,443,14,1,20,12,0.000309,215.77822,21.309702,2735.867261136638,0.0,2302.0,691.2,402075.56,0.0,16223.0,3804.4,28338829.14,1.0,20.0,10.15,21.227500000000006,0.0,18.0,8.95,20.2475,1,0,17,1,0,0,1,0,0,0,0,0,0,3,2,False
19,443,11,2,13,10,0.148702,115.43466699999999,12.632671416666668,991.0542965932913,18.0,2481.0,677.9166666666666,443982.2430555556,0.0,16223.0,4092.416666666666,31607752.24305556,1.0,17.0,8.153846153846152,23.97633136094675,0.0,18.0,7.153846153846153,23.514792899408288,1,0,9,0,0,0,2,1,0,0,0,0,0,4,1,False
